context,response,label,explanation
어떤 상황에서든지 연장되는 일이 발생하여 불만을 표현하는 상황,이런 일이 계속되면 정말 힘들어질 것 같아요.,Non-Sarcasm,문장이 상황에 대한 진정한 우려를 표현하고 있어 비풍자적입니다.
집안의 사생활이나 사소한 정보까지 외부에 노출되는 상황,우리 집의 사생활이 외부에 알려지는 것은 매우 불편한 일입니다.,Non-Sarcasm,이 문장은 집안의 사생활이 노출되는 것에 대한 진지한 우려를 표현하고 있어 비풍자적입니다.
누나와 외출을 계획하는 상황,누나와 함께 영화 보러 가는 것이 정말 기대돼.,Non-Sarcasm,영화 관람을 기대하는 진심 어린 감정을 표현하고 있어 비풍자적입니다.
동북공정에 관한 역사적 논쟁이 있는 상황,동북공정은 역사적 사실을 바탕으로 한 논의가 필요합니다.,Non-Sarcasm,이 문장은 역사적 논쟁의 중요성을 진지하게 강조하고 있어 비풍자적입니다.
어떤 부끄러운 기사가 해외에 알려질까 걱정하는 상황,"아, 우리나라의 자랑스러운 순간이 또 해외에 소개되겠군요. 외국인들이 감동해서 눈물 흘릴지도 모르겠어요!",Sarcasm,부끄러운 기사를 걱정하는 상황에서 '자랑스러운 순간'과 '외국인들이 감동해서 눈물 흘릴지도 모르겠다'는 표현은 실제로는 부정적인 상황을 비꼬아 말하는 방식이기 때문에 sarcasm이다.
자신의 키와 몸무게에 비해 과도한 비판을 받는 상황,나는 내 몸에 대해 긍정적으로 생각하려고 노력하고 있어요.,Non-Sarcasm,"이 문장은 자신의 몸에 대한 긍정적인 태도를 표현하고 있으며, 비판에 대한 반응으로 진지한 마음가짐을 보여줍니다."
스트레스가 건강에 악영향을 미치는 상황,스트레스를 관리하는 것은 건강을 유지하는 데 매우 중요합니다.,Non-Sarcasm,"이 문장은 스트레스 관리의 중요성을 진지하게 강조하고 있으며, 비꼬는 의미가 없습니다."
"임요환은 매우 경쟁적이고 승부욕이 강한 사람으로 알려져 있으며, 그의 가족도 비슷한 성향을 가지고 있을 것이라는 추측이 담겨 있다.",임요환의 가족도 그와 같은 경쟁적인 성향을 가질 가능성이 높다.,Non-Sarcasm,"이 문장은 임요환의 가족에 대한 추측을 진지하게 전달하고 있으며, 비꼬거나 조롱하는 의도가 없다."
중국과의 관계가 국제적으로 악화되고 있는 상황에서 어떤 인물이 중국과의 친밀함을 강조하면서도 정작 자신의 자식들은 서방 국가에서 교육을 받도록 한 상황,"그는 중국과의 협력을 중요시하지만, 자신의 자식들에게는 더 나은 교육 기회를 제공하고 싶어 한다.",Non-Sarcasm,"이 문장은 인물이 두 가지 상반된 가치를 가지고 있다는 점을 진지하게 설명하고 있으며, 풍자를 포함하지 않고 사실을 전달하고 있습니다."
누군가가 안타까운 상황에 처해 있는 상황,"정말 안타깝네요, 다음엔 로또라도 사보세요!",Sarcasm,"상대방의 불행에 대해 진정한 동정이 아닌, 비꼬는 방식으로 로또를 언급하여 상황의 심각성을 경시하고 있다."
